Compound,OSA,OSB,OSC,EA,EB,EC,CAN,CNB,CNC,IRA,IRB,IRC,DA,DB,DC,BANDGAP
BiInSe3,5,3,-2,1.9,1.78,2.55,6,6,2,1.03E-10,1.44E-10,5.00E-11,9.8,7.3,4.79,0.74
BiSbSe3,5,1,-2,1.9,2.05,2.55,3,4,2,1.03E-10,7.60E-11,5.00E-11,9.8,6.684,4.79,0.84
GeSnS3,4,2,-2,2.01,1.96,2.58,4,6,2,5.30E-11,7.10E-11,1.84E-10,5.32,7.3,2.07,0.78
InBiSe3,3,3,-2,1.78,1.9,2.55,6,4,2,8.00E-11,1.03E-10,5.00E-11,7.31,9.8,4.79,1.06
InSbSe3,3,3,-2,1.78,2.05,2.55,8,6,6,8.00E-11,7.60E-11,5.00E-11,7.31,6.684,4.79,0.87
PAlSe3,5,3,-2,2.19,1.61,2.55,4,8,6,1.70E-11,5.40E-11,5.00E-11,1.82,2.702,4.79,0.54
SbAlSe3,5,1,-2,2.05,1.61,2.55,6,8,6,7.60E-11,5.40E-11,5.00E-11,6.684,2.702,4.79,1.17
SbAsSe3,5,1,-2,2.05,2.18,2.55,6,3,6,7.60E-11,1.20E-10,5.00E-11,6.684,5.72,4.79,0.77
SbBiSe3,5,1,-2,2.05,1.9,2.55,6,8,6,7.60E-11,1.03E-10,5.00E-11,6.684,9.8,4.79,0.57
SbBiS3,5,1,-2,2.05,1.9,2.58,6,8,8,7.60E-11,1.03E-10,1.84E-10,6.684,9.8,2.07,1.05
SbInSe3,5,3,-2,2.05,1.78,2.55,6,8,6,7.60E-11,1.04E-10,5.00E-11,6.684,7.3,4.79,0.58
BiAlSe3,5,1,-2,1.9,1.61,2.55,6,8,6,1.03E-10,5.40E-11,5.00E-11,9.8,2.702,4.79,0.87
BiGeS3,5,1,-2,1.9,2.01,2.58,6,6,8,1.03E-10,5.30E-11,1.84E-10,9.8,5.32,2.07,0.79
BiSiSe3,5,1,-2,1.9,1.9,2.55,6,6,6,1.03E-10,6.50E-11,5.00E-11,9.8,2.3,4.79,0.75
GeBiS3,4,2,-2,2.01,1.9,2.58,4,8,8,5.30E-11,1.03E-10,1.84E-10,5.32,9.8,2.07,0.73
GePSe3,4,2,-2,2.01,2.19,2.55,4,6,6,5.30E-11,1.70E-11,5.00E-11,5.32,1.82,4.79,0.92
SiBiSe3,4,2,-2,1.9,1.9,2.55,6,4,6,6.50E-11,1.03E-10,5.00E-11,2.3,9.8,4.79,0.93
CaZrS3,2,4,-2,1,1.33,2.58,8,6,8,1.00E-10,8.40E-11,1.84E-10,1.55,6.4,2.07,0.52
SrZrSe3,2,4,-2,1,1.33,2.55,6,6,6,1.26E-10,8.40E-11,5.00E-11,2.6,6.4,4.79,1.02
LaYS3,3,3,-2,1.1,1.22,2.58,6,8,8,1.16E-10,1.02E-10,1.84E-10,6.7,4.47,2.07,1.79
BaHfS3,2,4,-2,0.89,1.3,2.58,6,6,8,1.42E-10,8.30E-11,1.84E-10,3.51,13.2,2.07,2.01
SrHfS3,2,4,-2,1,1.3,2.58,6,6,8,1.32E-10,8.30E-11,1.84E-10,2.6,13.2,2.07,2.27
PbTiO3,4,2,-2,2.33,1.54,3.44,8,6,4,1.19E-10,1.00E-10,1.40E-10,11.34,4.5,0.001429,1.85
TlIO3,3,3,-2,1.62,2.66,3.44,8,4,4,1.59E-10,2.20E-10,1.40E-10,11.85,0.53,0.001429,2.63
CsIO3,1,5,-2,0.79,2.66,3.44,6,6,4,1.81E-10,2.20E-10,1.40E-10,1.87,4.93,0.001429,3.12
BaSnO3,2,4,-2,0.89,1.96,3.44,6,6,4,1.49E-10,7.10E-11,1.40E-10,3.51,7.3,0.001429,0.34
LaAlO3,3,3,-2,1.1,1.61,3.44,6,4,4,1.16E-10,5.40E-11,1.40E-10,6.7,2.702,0.001429,3.49
RbIO3,1,5,-2,0.82,2.66,3.44,6,6,4,1.61E-10,2.20E-10,1.40E-10,1.53,4.93,0.001429,2.79
PbZrO3,4,2,-2,2.33,1.33,3.44,8,8,4,1.19E-10,1.09E-10,1.40E-10,11.34,6.4,0.001429,3.05
AgTaO3,1,5,-2,1.93,1.5,3.44,4,8,4,1.15E-10,8.80E-11,1.40E-10,10.5,16.6,0.001429,1.73
CaTiO3,2,4,-2,1,1.54,3.44,6,4,4,1.00E-10,5.60E-11,1.40E-10,1.55,4.5,0.001429,1.97
LaGaO3,3,3,-2,1.1,1.81,3.44,6,6,4,1.16E-10,6.20E-11,1.40E-10,6.7,5.907,0.001429,3.3
BaCeTe3,2,4,-2,0.89,1.12,2.1,6,8,4,1.42E-10,1.65E-10,9.70E-11,3.51,6.78,6.24,1.3
GdFeO3,3,3,-2,1.1,1.83,3.44,6,4,4,1.05E-10,5.50E-11,1.40E-10,7.895,7.86,0.001429,0.32
YScS3,3,3,-2,1.22,1.36,2.58,6,8,8,1.02E-10,7.50E-11,1.84E-10,4.47,3,2.07,2.12
